Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,3540_EB2225,3541_EB2225,3542_EB2225,3543_EB2225,3846_CP04536,3847_CP04536,3848_CP04536,3849_CP04536,3850_CP04536,3851_CP04536,3866_CP04536,3868_CP04536,Taxonomy Id,Taxonomy Lineage
Actinomyces massiliensis,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,Actinomyces massiliensis,0,0,0,0,0,0,0,0,0,244.81,0,182.49,461393,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces massiliensis(461393);t__Actinomyces massiliensis(461393);
Actinomyces massiliensis 4401292,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,Actinomyces massiliensis 4401292,0,0,0,0,132.68,0,0,2205.98,2483.73,0,444.11,0,1167628,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces massiliensis(461393);t__Actinomyces massiliensis 4401292(1167628);
Actinomyces naeslundii str. Howell 279,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,Actinomyces naeslundii str. Howell 279,0,0,0,0,896.86,373.23,247.94,13602.6,10836.27,414.49,2498.9,836.9,1115803,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces naeslundii(1655);t__Actinomyces naeslundii str. Howell 279(1115803);
Schaalia odontolytica,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,Schaalia odontolytica,0,0,0,0,0,0,239.2,0,0,195.14,0,0,1660,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia odontolytica(1660);t__Schaalia odontolytica(1660);
Schaalia odontolytica ATCC 17982,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,Schaalia odontolytica ATCC 17982,0,0,0,0,685.14,349.34,0,4527.66,4060.95,0,703.14,469.67,411466,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia odontolytica(1660);t__Schaalia odontolytica ATCC 17982(411466);
Actinomyces oris K20,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,Actinomyces oris K20,0,0,0,0,1410.6,657.21,322.33,10281.28,10523.35,350.78,1807.95,1024.3,871541,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces oris(544580);t__Actinomyces oris K20(871541);
Actinomyces sp. ICM47,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_u_s,Actinomyces sp. ICM47,309.23,0,0,0,3716.02,2026.5,651.13,0,0,0,0,4068.73,936548,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces_u_s(1654);t__Actinomyces sp. ICM47(936548);
Actinomyces viscosus C505,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,Actinomyces viscosus C505,0,0,0,0,1515.84,738.49,342.04,7871.96,7335.65,0,1645.27,1100.94,562973,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces viscosus(1656);t__Actinomyces viscosus C505(562973);
Peptidiphaga gingivicola,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Peptidiphaga,Peptidiphaga gingivicola,Peptidiphaga gingivicola,0,0,0,0,232.01,0,0,2531.68,2051.12,0,570.03,238.61,2741497,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Peptidiphaga(2739835);s__Peptidiphaga gingivicola(2741497);t__Peptidiphaga gingivicola(2741497);
Actinomycetaceae bacterium,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomycetaceae_u_g,Actinomycetaceae_u_s,Actinomycetaceae bacterium,0,0,0,0,180.46,0,0,4520.35,4222.91,0,1367.57,203.93,1898202,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomycetaceae_u_g(2049);s__Actinomycetaceae_u_s(2049);t__Actinomycetaceae bacterium(1898202);
Adlercreutzia equolifaciens DSM 19450,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens DSM 19450,0,0,0,0,0,0,0,0,3436.21,6935.31,0,0,1384484,k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Eggerthellales(1643822);f__Eggerthellaceae(1643826);g__Adlercreutzia(447020);s__Adlercreutzia equolifaciens(446660);t__Adlercreutzia equolifaciens DSM 19450(1384484);
Agathobaculum butyriciproducens,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,0,0,0,877.5,0,0,1662,0,0,1623.39,0,0,1628085,k__Bacteria(2);p__Firmicutes(1239);c__Clostridia(186801);o__Clostridiales(186802);f__Ruminococcaceae(541000);g__Agathobaculum(2048137);s__Agathobaculum butyriciproducens(1628085);t__Agathobaculum butyriciproducens(1628085);
Aggregatibacter aphrophilus ATCC 33389,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus ATCC 33389,0,0,0,0,943,1037.84,458.76,0,0,0,0,0,985008,k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pasteurellales(135625);f__Pasteurellaceae(712);g__Aggregatibacter(416916);s__Aggregatibacter aphrophilus(732);t__Aggregatibacter aphrophilus ATCC 33389(985008);
Aggregatibacter segnis ATCC 33393,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter segnis,Aggregatibacter segnis ATCC 33393,0,0,0,0,175.16,644.39,373.65,0,0,0,0,0,888057,k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pasteurellales(135625);f__Pasteurellaceae(712);g__Aggregatibacter(416916);s__Aggregatibacter segnis(739);t__Aggregatibacter segnis ATCC 33393(888057);
Aggregatibacter sp. oral taxon 458 str. W10330,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter_u_s,Aggregatibacter sp. oral taxon 458 str. W10330,173.73,0,0,0,669.9,652.16,193.27,0,0,0,0,0,1321772,k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pasteurellales(135625);f__Pasteurellaceae(712);g__Aggregatibacter(416916);s__Aggregatibacter_u_s(416916);t__Aggregatibacter sp. oral taxon 458 str. W10330(1321772);
Akkermansia muciniphila ATCC BAA-835,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila ATCC BAA-835,0,903.97,1141.07,3145.27,0,0,0,0,0,0,0,0,349741,k__Bacteria(2);p__Verrucomicrobia(74201);c__Verrucomicrobiae(203494);o__Verrucomicrobiales(48461);f__Akkermansiaceae(1647988);g__Akkermansia(239934);s__Akkermansia muciniphila(239935);t__Akkermansia muciniphila ATCC BAA-835(349741);
Akkermansia sp. BIOML-A63,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_u_s,Akkermansia sp. BIOML-A63,0,844.33,156.79,0,0,0,0,0,0,0,0,0,2584619,k__Bacteria(2);p__Verrucomicrobia(74201);c__Verrucomicrobiae(203494);o__Verrucomicrobiales(48461);f__Akkermansiaceae(1647988);g__Akkermansia(239934);s__Akkermansia_u_s(239934);t__Akkermansia sp. BIOML-A63(2584619);
Alistipes finegoldii DSM 17242,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii DSM 17242,0,1392.48,1361.43,340.28,0,0,82.66,0,0,0,0,0,679935,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes finegoldii(214856);t__Alistipes finegoldii DSM 17242(679935);
Alistipes indistinctus YIT 12060,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes indistinctus,Alistipes indistinctus YIT 12060,0,117.9,136.01,0,0,0,0,0,0,0,0,0,742725,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes indistinctus(626932);t__Alistipes indistinctus YIT 12060(742725);
Alistipes putredinis DSM 17216,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis DSM 17216,0,6743.84,10100.48,2096.17,0,9379.14,18056.67,0,0,0,0,0,445970,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes putredinis(28117);t__Alistipes putredinis DSM 17216(445970);
Alistipes senegalensis JC50,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes senegalensis,Alistipes senegalensis JC50,0,440.27,233.49,0,0,0,0,0,0,0,0,0,1033732,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes senegalensis(1288121);t__Alistipes senegalensis JC50(1033732);
Alistipes shahii WAL 8301,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii WAL 8301,0,1221.57,975.87,269.05,0,466.35,1560.42,0,0,0,0,0,717959,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes shahii(328814);t__Alistipes shahii WAL 8301(717959);
Alistipes onderdonkii subsp. vulgaris,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Alistipes onderdonkii subsp. vulgaris,0,8005.71,9310.57,0,0,0,0,0,0,0,0,0,2585117,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes onderdonkii(328813);t__Alistipes onderdonkii subsp. vulgaris(2585117);
Alistipes communis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,Alistipes communis,0,628.07,389.44,121.04,0,0,0,0,0,0,0,0,2585118,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes communis(2585118);t__Alistipes communis(2585118);
Alistipes sp. AF14-19,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_u_s,Alistipes sp. AF14-19,0,0,0,0,0,536.14,1961.22,0,0,0,0,0,2292910,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes_u_s(239759);t__Alistipes sp. AF14-19(2292910);
Alistipes sp. AM16-43,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_u_s,Alistipes sp. AM16-43,0,9018.45,9640.88,854.81,0,0,0,0,0,0,0,0,2292911,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes_u_s(239759);t__Alistipes sp. AM16-43(2292911);
Alloscardovia_u_t,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia_u_s,Alloscardovia_u_t,0,0,0,0,196.21,0,0,0,0,0,0,0,419014,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Bifidobacteriales(85004);f__Bifidobacteriaceae(31953);g__Alloscardovia(419014);s__Alloscardovia_u_s(419014);t__Alloscardovia_u_t(419014);
Alloscardovia omnicolens F0580,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia omnicolens,Alloscardovia omnicolens F0580,0,0,0,0,0,0,0,0,0,0,0,332,1321816,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Bifidobacteriales(85004);f__Bifidobacteriaceae(31953);g__Alloscardovia(419014);s__Alloscardovia omnicolens(419015);t__Alloscardovia omnicolens F0580(1321816);
Anaerobutyricum soehngenii,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum soehngenii,Anaerobutyricum soehngenii,0,421.69,683.88,1741.97,0,0,81.87,0,1105.67,4807.3,0,0,105843,k__Bacteria(2);p__Firmicutes(1239);c__Clostridia(186801);o__Clostridiales(186802);f__Lachnospiraceae(186803);g__Anaerobutyricum(2569097);s__Anaerobutyricum soehngenii(105843);t__Anaerobutyricum soehngenii(105843);
Anaerostipes hadrus DSM 3319,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes hadrus DSM 3319,0,1753.62,2206.23,5822.31,0,0,2780.03,0,4101.67,16839.23,0,0,649757,k__Bacteria(2);p__Firmicutes(1239);c__Clostridia(186801);o__Clostridiales(186802);f__Lachnospiraceae(186803);g__Anaerostipes(207244);s__Anaerostipes hadrus(649756);t__Anaerostipes hadrus DSM 3319(649757);
Adlercreutzia equolifaciens subsp. celatus,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens subsp. celatus,0,149.6,172.91,1408.17,0,0,0,0,0,0,0,0,394340,k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Eggerthellales(1643822);f__Eggerthellaceae(1643826);g__Adlercreutzia(447020);s__Adlercreutzia equolifaciens(446660);t__Adlercreutzia equolifaciens subsp. celatus(394340);
Atopobium parvulum DNF00906,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella parvula,Atopobium parvulum DNF00906,0,0,0,0,1228.77,298.73,0,1798.96,1114.42,0,260.22,1600.72,1287474,k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Atopobiaceae(1643824);g__Lancefieldella(2767353);s__Lancefieldella parvula(1382);t__Atopobium parvulum DNF00906(1287474);
Atopobium rimae ATCC 49626,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella rimae,Atopobium rimae ATCC 49626,0,0,0,0,0,0,0,0,0,0,0,113.97,553184,k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Atopobiaceae(1643824);g__Lancefieldella(2767353);s__Lancefieldella rimae(1383);t__Atopobium rimae ATCC 49626(553184);
Atopobium sp. BS2,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium_u_s,Atopobium sp. BS2,0,0,0,0,0,0,0,0,0,0,257.96,0,936550,k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Atopobiaceae(1643824);g__Atopobium(1380);s__Atopobium_u_s(1380);t__Atopobium sp. BS2(936550);
Atopobium sp. ICM42b,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium_u_s,Atopobium sp. ICM42b,0,0,0,0,1199.06,299.16,0,1784.04,1096.09,0,0,1667.59,1190620,k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Atopobiaceae(1643824);g__Atopobium(1380);s__Atopobium_u_s(1380);t__Atopobium sp. ICM42b(1190620);
Actinomyces sp. ICM58,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_u_s,Actinomyces sp. ICM58,0,0,0,0,0,0,0,34241.8,24841.33,844.13,7236.58,0,1105030,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces_u_s(1654);t__Actinomyces sp. ICM58(1105030);
Bacillus coagulans,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus coagulans,Bacillus coagulans,0,0,0,0,2959.56,623.67,121.64,0,0,0,0,0,1398,k__Bacteria(2);p__Firmicutes(1239);c__Bacilli(91061);o__Bacillales(1385);f__Bacillaceae(186817);g__Bacillus(1386);s__Bacillus coagulans(1398);t__Bacillus coagulans(1398);
Bacteroidales_u_t,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_u_f,Bacteroidales_u_g,Bacteroidales_u_s,Bacteroidales_u_t,0,0,0,252.15,0,0,0,0,0,0,0,0,171549,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Bacteroidales_u_f(171549);g__Bacteroidales_u_g(171549);s__Bacteroidales_u_s(171549);t__Bacteroidales_u_t(171549);
Bacteroides_u_t,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides_u_t,0,249.2,0,201.83,0,93.37,476.71,0,0,0,0,0,816,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Bacteroidaceae(815);g__Bacteroides(816);s__Bacteroides_u_s(816);t__Bacteroides_u_t(816);
Bacteroides acidifaciens JCM 10556,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,Bacteroides acidifaciens JCM 10556,0,0,0,0,0,570.82,1315.63,0,0,0,0,0,1235814,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Bacteroidaceae(815);g__Bacteroides(816);s__Bacteroides acidifaciens(85831);t__Bacteroides acidifaciens JCM 10556(1235814);
Bacteroides caccae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,Bacteroides caccae,0,0,0,97.13,0,182.59,0,0,0,0,0,0,47678,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Bacteroidaceae(815);g__Bacteroides(816);s__Bacteroides caccae(47678);t__Bacteroides caccae(47678);
Bacteroides caccae ATCC 43185,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,Bacteroides caccae ATCC 43185,0,1144.44,1164.97,0,0,0,0,0,0,0,0,0,411901,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Bacteroidaceae(815);g__Bacteroides(816);s__Bacteroides caccae(47678);t__Bacteroides caccae ATCC 43185(411901);
Bacteroides caccae CL03T12C61,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,Bacteroides caccae CL03T12C61,0,0,0,0,0,0,217.66,0,0,0,0,0,997873,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Bacteroidaceae(815);g__Bacteroides(816);s__Bacteroides caccae(47678);t__Bacteroides caccae CL03T12C61(997873);
